#F norm: /SNS/REF_L/IPTS-1823/28/20928/NeXus/REF_L_20928.nxs
#F data: /SNS/REF_L/IPTS-1823/28/20927/NeXus/REF_L_20927.nxs
#F data: /SNS/REF_L/IPTS-1823/28/20935/NeXus/REF_L_20935.nxs
#E 1245305713.38
#D 2009-06-18T02:15:13.376123-04:00
#C norm Run Number: 20928
#C data Run Number: 20927 / 20935
#C data Title: BSL184_contrastMatched_No0Rep0 / BSL184_contrastMatched_01_No0Rep0
#C norm Title: direct beam through Si (lamC=15.25 A)
#C norm Notes: NONE
#C data Notes: NONE
#C data dt/t: 0.0163275774314
#C norm dt/t: 0.0163275774314
#C Polar Angle Offset: (0.029000000000000001, 0.001, 'degrees')
#C data Sample: Name; PMAA brushes on silicon substrates | Nature; Thin Film
#C norm Proton Charge: (74643931136.0, 'picoCoulomb')
#C data Proton Charge: (2718827020290.0, 'picoCoulomb')
#C data Slit1 Size: (0.00045000000298023226, 'metre')
#C norm Slit1 Size: (0.001, 'metre')
#C data Slit2 Size: (0.00015000000596046448, 'metre')
#C norm Slit2 Size: (0.001, 'metre')
#C data Slit1-Slit2 Distance: (0.88500005006790161, 'metre')
#C norm Slit1-Slit2 Distance: (0.88500005006790161, 'metre')
#C norm dtheta: (0.0011299434388995515, 'radians')
#C data dtheta: (0.00050847455087229209, 'radians')
#C data theta: (0.0017401368822902441, 'radians')
#C norm theta: (-6.41408496449003e-06, 'radians')
#C norm dtheta_over_theta: -176.165960563
#C data dtheta_over_theta: 0.292203766294
#C HLR Version - 1.5.8
#C DOM Version - 1.5.2
#C SCL Version - 1.3.5

#S 1 Spectrum ID ('bank1', (127, 144))
#N 3
#L scalar wavevector transfer(1/Angstroms)  Intensity(Counts/A-1)  Sigma(Counts/A-1)
0.001   0.0   0.0
0.00102   0.0   0.0
0.0010404   0.0   0.0
0.001061208   0.0   0.0
0.00108243216   0.0   0.0
0.0011040808032   0.0   0.0
0.00112616241926   0.0   0.0
0.00114868566765   0.0   0.0
0.001171659381   0.0   0.0
0.00119509256862   0.0   0.0
0.00121899441999   0.0   0.0
0.00124337430839   0.0   0.0
0.00126824179456   0.0202897040401   0.0114821483464
0.00129360663045   0.0269957836902   0.00693253930608
0.00131947876306   0.0443221684407   0.0211498664842
0.00134586833832   0.0431396322624   0.0079639391237
0.00137278570509   0.0527658870061   0.00901539521229
0.00140024141919   0.0466407440985   0.00761861291379
0.00142824624758   0.0932853878573   0.00881377340589
0.00145681117253   0.0574882510695   0.00880992380729
0.00148594739598   0.0531233679697   0.00731436882614
0.0015156663439   0.0557205112424   0.00663896043484
0.00154597967078   0.0589556663925   0.00681770924857
0.00157689926419   0.0604142824904   0.00653876933568
0.00160843724948   0.0658184332844   0.0128100134273
0.00164060599446   0.0337253130919   0.00514404625062
0.00167341811435   0.0651090626516   0.0307161732706
0.00170688647664   0.0228078051662   0.00398165993523
0.00174102420617   0.218339745832   0.957236680502
0.0017758446903   0.0172870308547   0.003136013495
0.0018113615841   0.0202922375769   0.00395134588638
0.00184758881579   0.0190452110281   0.015041369693
0.0018845405921   0.00655892752276   0.00181177717659
0.00192223140394   0.0531009143139   0.0552031159805
0.00196067603202   0.00543374558595   0.0107418109021
0.00199988955266   0.0461187725658   0.0549563324289
0.00203988734372   0.164962909277   0.883357459853
0.00208068509059   0.0   0.0
0.0021222987924   0.0   0.0
0.00216474476825   0.0388523558298   0.0549506612973
0.00220803966361   0.0   0.0
0.00225220045689   0.0   0.0
0.00229724446602   0.0398917165664   0.0549506612973
0.00234318935535   0.0   0.0
0.00239005314245   0.0   0.0
0.0024378542053   0.0   0.0
0.00248661128941   0.0   0.0
0.0025   
